Producto;Categoría;Descripción;Precio;Cantidad
Botella Reutilizable de Acero Inoxidable;Hidratación;Eco-botella fabricada con acero inoxidable de alta durabilidad  ideal para reducir el uso de plástico;45;120
Bolsa de Tela Ecológica Reutilizable;Accesorios;Bolsa de algodón orgánico resistente   perfecta para compras sostenibles;15;200
Cepillo de Bambu para Dientes;Higiene personal;Cepillo biodegradable hecho con bambón natural y cerdas suaves;10;350
Lámpara Solar para Jardí­n;Iluminación;Dispositivo solar con sensor de movimiento  ideal para exteriores;60;85
Shampoo Sólido Vegano (100g);Cuidado personal;Producto natural sin químicos ni envases plásticos  con fragancia vegetal;30;150
Cuaderno Reciclado (100 páginas);Papelería;Cuaderno elaborado con papel reciclado y tapa ecológica;12;180
Jabón Artesanal de Avena;Cuidado personal;Jabón natural con extracto de avena y sin fragancias artificiales;8;250
Vaso de Bambu Reutilizable;Hidratación;Vaso ecológico hecho con bambú y silicona para bebidas calientes;25;100
Kit de Cubiertos Reutilizables de Madera;Accesorios;Incluye cuchara  tenedor y palillos  elaborado en madera sostenible;22;90
Cargador Solar Portátil;Electrónica;Cargador USB alimentado por energía solar  ideal para viajes sostenibles;80;60
